Date,Consumption [kWh],Production [kWh],Always on [kWh],Import [kWh],Export [kWh]
2025-02-01 00:00:00,"5 913,952","354,296","2 772,367","5 560,383","0,749"
2025-01-01 00:00:00,"24 003,201","575,45","9 239,445","23 427,638",0
2024-12-01 00:00:00,"19 925,45","392,152","7 861,207","19 533,242",0
2024-11-01 00:00:00,"20 689,902","658,001","7 750,977","20 031,99","0,131"
2024-10-01 00:00:00,"21 321,081","1 828,306","7 806,098","19 528,022","35,266"
2024-09-01 00:00:00,"17 750,479","2 891,16","7 249,27","15 068,386","209,111"
2024-08-01 00:00:00,"16 870,8","4 656,506","7 699,575","12 612,702","398,472"
2024-07-01 00:00:00,"17 145,481","4 990,352","7 387,165","12 525,527","370,452"
2024-06-01 00:00:00,"13 123,197","673,517","2 076,805","12 918,397","468,722"
2024-05-01 00:00:00,"17 008,634",0,"8 051,571","17 008,634",0
2024-04-01 00:00:00,"15 956,328",0,"8 160,699","15 956,328",0
2024-03-01 00:00:00,"16 137,982",0,"8 300,791","16 137,982",0
2024-02-01 00:00:00,"15 901,633",0,"7 083,727","15 901,633",0
2024-01-01 00:00:00,"18 037,824",0,"7 996,497","18 037,824",0
2023-12-01 00:00:00,"15 178,814",0,"7 192,634","15 178,814",0
2023-11-01 00:00:00,"15 239,771",0,"6 519,342","15 239,771",0
2023-10-01 00:00:00,"14 904,784",0,"6 715,39","14 904,784",0
2023-09-01 00:00:00,"11 299,523",0,"5 328,769","11 299,523",0
2023-08-01 00:00:00,"9 778,186",0,"5 098,778","9 778,186",0
2023-07-01 00:00:00,"12 614,717",0,"6 645,336","12 614,717",0
2023-06-01 00:00:00,"13 776,075",0,"6 059,908","13 776,075",0
2023-05-01 00:00:00,"11 893,343",0,"6 818,892","11 893,343",0
2023-04-01 00:00:00,"11 246,372",0,"6 538,51","11 246,372",0
2023-03-01 00:00:00,"12 704,237",0,"6 890,367","12 704,237",0
2023-02-01 00:00:00,"11 212,964",0,"6 368,001","11 212,964",0
2023-01-01 00:00:00,"12 150,409",0,"7 103,4","12 150,409",0